 115     0,000000     0,342216
 116     1,000000     0,559251
 117     0,000000     0,332849
 118     0,000000     0,228669
 119     1,000000     0,376374
 120     1,000000     0,342216
 121     0,000000     0,308723
 122     0,000000     0,528263
 123     0,000000     0,299855
 124     0,000000     0,528263
 125     1,000000     0,202862
 126     0,000000     0,332849
 127     0,000000     0,429086
 128     1,000000     0,277941
 129     0,000000     0,402708
 130     0,000000     0,466819
 131     0,000000     0,342216
 132     0,000000     0,528263
 133     0,000000     0,503887
 134     0,000000     0,332849
 135     0,000000     0,429086
 136     1,000000     0,342216
 137     0,000000     0,294006
 138     0,000000     0,202862
 139     0,000000     0,457200
 140     0,000000     0,529057
 141     0,000000     0,294006
 142     0,000000     0,429086
 143     0,000000     0,332849
 144     0,000000     0,466819
 145     0,000000     0,429867
 146     1,000000     0,234970
 147     1,000000     0,399549
 148     1,000000     0,466819
 149     0,000000     0,399549
 150     0,000000     0,503887
 151     1,000000     0,466819
 152     1,000000     0,202862
 153     1,000000     0,528263
 154     0,000000     0,308723
 155     0,000000     0,399549
 156     1,000000     0,466819
 157     1,000000     0,412051
 158     0,000000     0,467613
 159     0,000000     0,412051
 160     0,000000     0,169233
 161     0,000000     0,285386
 162     1,000000     0,528263
 163     0,000000     0,333558
 164     0,000000     0,429086
 165     0,000000     0,228669
 166     0,000000     0,528263
 167     0,000000     0,277302
 168     0,000000     0,466819
 169     1,000000     0,559251
 170     0,000000     0,376374
 171     0,000000     0,429086
 172     0,000000     0,342216
 173     0,000000     0,529057
 174     1,000000     0,429867
 175     0,000000     0,376374
 176     0,000000     0,528263
 177     1,000000     0,466819
 178     0,000000     0,466819
 179     0,000000     0,503887
 180     0,000000     0,528263
 181     0,000000     0,399549
 182     1,000000     0,285386
 183     0,000000     0,389542
 184     0,000000     0,503887
 185     1,000000     0,347529
 186     1,000000     0,154338
 187     1,000000     0,528263
 188     0,000000     0,342216
 189     1,000000     0,466819
 190     0,000000     0,466819
 191     0,000000     0,429867
 192     0,000000     0,342216
 193     0,000000     0,429867
 194     0,000000     0,399549
 195     0,000000     0,300525
 196     0,000000     0,466819
 197     1,000000     0,332849
 198     0,000000     0,389542
 199     1,000000     0,466819
 200     1,000000     0,529057
 201     0,000000     0,503887
 202     0,000000     0,528263
 203     1,000000     0,466819
 204     1,000000     0,308723
 205     0,000000     0,429867
 206     1,000000     0,277302
 207     0,000000     0,263342
 208     0,000000     0,399549
 209     0,000000     0,202862
 210     0,000000     0,300525
 211     0,000000     0,528263
 212     0,000000     0,376374
 213     1,000000     0,412051
 214     0,000000     0,375626
 215     0,000000     0,399549
 216     1,000000     0,228669
 217     0,000000     0,466819
 218     1,000000     0,399549
 219     0,000000     0,286037
 220     1,000000     0,263342
 221     0,000000     0,228669
 222     0,000000     0,399549
 223     0,000000     0,332849
 224     0,000000     0,528263
 225     1,000000     0,285386
